Student_ID,Semster_Name,Paper_ID,Paper_Name,Marks
SID20131143,Sem_1,SEMI0012995,Paper 1,44
SID20131143,Sem_1,SEMI0015183,Paper 2,74
SID20131143,Sem_1,SEMI0018371,Paper 3,80
SID20131143,Sem_1,SEMI0015910,Paper 4,44
SID20131143,Sem_1,SEMI0016208,Paper 5,95
SID20131143,Sem_1,SEMI0017431,Paper 6,61
SID20131143,Sem_1,SEMI0014130,Paper 7,90
SID20131143,Sem_2,SEMI0024747,Paper 1,92
SID20131143,Sem_2,SEMI0025909,Paper 2,57
SID20131143,Sem_2,SEMI0022443,Paper 3,91
SID20131143,Sem_2,SEMI0025077,Paper 4,84
SID20131143,Sem_2,SEMI0029604,Paper 5,80
SID20131143,Sem_2,SEMI0029061,Paper 6,66
SID20131143,Sem_2,SEMI0022256,Paper 7,54
SID20131143,Sem_3,SEMI0037924,Paper 1,76
SID20131143,Sem_3,SEMI0034580,Paper 2,83
SID20131143,Sem_3,SEMI0033576,Paper 3,41
SID20131143,Sem_3,SEMI0031818,Paper 4,80
SID20131143,Sem_3,SEMI0039951,Paper 5,69
SID20131143,Sem_3,SEMI0039037,Paper 6,73
SID20131143,Sem_3,SEMI0035955,Paper 7,66
SID20131143,Sem_4,SEMI0044637,Paper 1,78
SID20131143,Sem_4,SEMI0048491,Paper 2,83
SID20131143,Sem_4,SEMI0049197,Paper 3,94
SID20131143,Sem_4,SEMI0044506,Paper 5,99
SID20131143,Sem_4,SEMI0044518,Paper 6,100
SID20131143,Sem_4,SEMI0044275,Paper 7,91
SID20131143,Sem_5,SEMI0058624,Paper 1,92
SID20131143,Sem_5,SEMI0058693,Paper 2,44
SID20131143,Sem_5,SEMI0056942,Paper 3,69
SID20131143,Sem_5,SEMI0055343,Paper 4,60
SID20131143,Sem_5,SEMI0052593,Paper 5,97
SID20131143,Sem_5,SEMI0055015,Paper 6,22
SID20131143,Sem_5,SEMI0052434,Paper 7,86
SID20131143,Sem_6,SEMI0068923,Paper 1,98
SID20131143,Sem_6,SEMI0067259,Paper 2,84
SID20131143,Sem_6,SEMI0065623,Paper 3,46
SID20131143,Sem_6,SEMI0064181,Paper 4,76
SID20131143,Sem_6,SEMI0064427,Paper 5,54
SID20131143,Sem_6,SEMI0069632,Paper 6,46
SID20131143,Sem_6,SEMI0069737,Paper 7,42
SID20131143,Sem_7,SEMI0076821,Paper 1,94
SID20131143,Sem_7,SEMI0071868,Paper 2,53
SID20131143,Sem_7,SEMI0077220,Paper 3,54
SID20131143,Sem_7,SEMI0078668,Paper 4,88
SID20131143,Sem_7,SEMI0073367,Paper 5,86
SID20131143,Sem_7,SEMI0079276,Paper 6,55
SID20131143,Sem_7,SEMI0078510,Paper 7,81
SID20131143,Sem_8,SEMI0089747,Paper 1,58
SID20131143,Sem_8,SEMI0081989,Paper 2,64
SID20131143,Sem_8,SEMI0082598,Paper 3,42
SID20131143,Sem_8,SEMI0088030,Paper 4,98
SID20131143,Sem_8,SEMI0081794,Paper 5,62
SID20131143,Sem_8,SEMI0086600,Paper 6,51
SID20131143,Sem_8,SEMI0083259,Paper 7,94
SID20131151,Sem_1,SEMI0012995,Paper 1,78
